# Start at 2020-03-10 10:20:36.008281
# EA  EB  tA  tB
# 
46.061 1.473 107.205 16.345
68.834 0.744 112.196 223.000
132.773 0.000 115.223 0.000
135.870 208.095 115.040 115.334
226.889 0.000 116.643 0.000
50.852 0.984 107.519 33.025
29.831 0.252 96.997 416.000
140.477 0.255 114.919 232.000
89.911 0.252 112.538 393.000
337.035 0.000 117.124 9.586
40.788 0.000 98.614 9.586
57.262 0.000 109.084 9.586
155.612 2.097 115.510 112.010
68.743 0.497 109.846 59.000
31.126 0.000 36.189 9.586
37.033 0.000 91.383 9.586
57.234 0.946 106.186 23.025
27.747 1.235 112.344 53.176
31.412 198.300 71.252 74.586
34.228 219.511 87.916 87.999
58.137 0.000 107.948 0.000
53.895 0.000 104.721 9.586
136.640 217.024 114.683 114.579
139.984 0.000 114.549 0.000
30.727 0.000 89.495 0.000
71.262 0.000 110.418 0.000
38.477 0.000 103.551 0.000
86.053 222.526 111.656 113.507
136.533 224.036 114.361 115.499
72.926 0.000 112.167 0.000
134.590 223.500 114.984 115.239
93.888 128.762 112.819 114.225
374.427 5.269 117.196 0.000
32.610 5.905 95.893 0.000
84.847 225.556 111.619 112.073
332.162 0.000 116.922 9.586
135.815 0.252 115.098 330.000
83.401 3.216 113.109 14.117
111.795 0.496 113.900 324.000
65.295 0.000 110.894 9.586
54.655 0.000 107.416 9.586
79.672 209.807 110.361 112.287
0.504 0.000 438.000 9.586
334.051 1.924 116.616 13.285
72.969 1.460 110.191 16.045
192.621 0.000 115.061 0.000
129.899 0.000 115.282 9.586
41.420 2.329 98.819 24.100
41.949 0.753 102.500 17.053
135.701 0.650 115.230 17.053
38.852 0.000 102.534 0.000
24.667 0.000 73.412 9.586
26.604 129.968 84.359 84.421
28.748 1.384 88.338 109.000
141.114 41.420 114.649 114.512
42.979 0.495 101.424 27.025
55.553 0.000 109.312 0.000
27.299 0.000 84.346 0.000
139.211 59.091 115.714 117.700
138.400 207.881 115.836 116.823
48.861 0.500 107.677 44.025
37.592 1.241 98.849 23.053
31.267 0.252 92.321 80.000
83.004 0.000 111.673 0.000
29.859 0.000 86.495 0.000
45.366 1.724 106.164 11.847
65.203 0.743 111.999 48.000
327.491 2.885 117.502 18.843
50.294 1.522 105.862 16.377
153.726 2.652 114.620 10.064
9.490 0.000 19.737 0.000
130.152 0.000 114.667 0.000
56.527 0.000 109.335 0.000
60.470 0.000 111.307 0.000
39.576 0.000 104.363 0.000
81.052 0.000 112.269 0.000
47.019 0.000 106.487 0.000
135.736 0.000 115.025 0.000
35.604 0.000 94.655 0.000
57.608 0.000 109.364 0.000
56.672 0.000 108.209 0.000
67.419 0.249 109.518 0.000
67.538 0.000 110.465 0.000
